timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-30 14:30:00+05:30,43432.1,43459.89,43320.4,43324.4,893.68806,2024-01-30 15:29:59.999000+05:30,38783362.33658,29948.0,435.90049,18917555.0340906,0
2024-01-30 15:30:00+05:30,43324.41,43510.0,43295.55,43482.01,949.27329,2024-01-30 16:29:59.999000+05:30,41196974.1888785,34361.0,517.7081,22471103.6416348,0
2024-01-30 16:30:00+05:30,43482.01,43564.85,43414.41,43537.74,1045.71402,2024-01-30 17:29:59.999000+05:30,45476144.2567472,43586.0,643.20304,27973961.0773947,0
2024-01-30 17:30:00+05:30,43537.75,43882.36,43257.39,43394.53,3427.46676,2024-01-30 18:29:59.999000+05:30,149166740.2078837,128687.0,1886.39314,82130949.2305794,0
2024-01-30 18:30:00+05:30,43394.54,43480.0,43153.06,43287.61,1976.10308,2024-01-30 19:29:59.999000+05:30,85489247.9238126,65571.0,960.39574,41546866.6840591,0
2024-01-30 19:30:00+05:30,43287.61,43498.0,43114.13,43473.99,1788.03155,2024-01-30 20:29:59.999000+05:30,77481821.6068521,68821.0,936.42183,40583886.0099587,0
2024-01-30 20:30:00+05:30,43474.0,43622.0,43292.98,43375.5,2628.65407,2024-01-30 21:29:59.999000+05:30,114290329.7175925,81470.0,1426.55479,62028722.1177644,0
2024-01-30 21:30:00+05:30,43375.5,43516.06,43224.0,43499.03,1844.52412,2024-01-30 22:29:59.999000+05:30,79958764.6229745,70245.0,981.7888,42564735.0653173,0
2024-01-30 22:30:00+05:30,43499.03,43599.0,43306.51,43398.31,1501.00015,2024-01-30 23:29:59.999000+05:30,65190144.817483,57894.0,790.51945,34333040.0549835,0
2024-01-30 23:30:00+05:30,43398.31,43496.0,43282.94,43371.63,1362.58564,2024-01-31 00:29:59.999000+05:30,59139323.9655388,48386.0,686.77838,29805628.1617021,0
2024-01-31 00:30:00+05:30,43371.64,43574.8,43336.35,43547.98,1126.04706,2024-01-31 01:29:59.999000+05:30,48908717.8986207,44339.0,648.55148,28170180.5589865,0
2024-01-31 01:30:00+05:30,43547.99,43760.0,43480.18,43561.1,2556.66446,2024-01-31 02:29:59.999000+05:30,111517011.8356325,77516.0,1296.35304,56539316.4760787,0
2024-01-31 02:30:00+05:30,43561.1,43694.15,43488.32,43546.07,1431.55277,2024-01-31 03:29:59.999000+05:30,62387894.1526254,43846.0,809.24524,35269493.3885323,0
2024-01-31 03:30:00+05:30,43546.07,43574.8,43326.27,43327.77,1000.28757,2024-01-31 04:29:59.999000+05:30,43497063.7459512,41521.0,423.16021,18408351.1824458,0
2024-01-31 04:30:00+05:30,43327.78,43354.48,42683.99,42941.1,2737.297,2024-01-31 05:29:59.999000+05:30,117668534.6389481,95973.0,1146.36523,49252330.2699253,0
